drug,7_days,7_days_min,7_days_max,14_days,30_days
Introvale 0.15-0.03 Mg Tablet,8121,8109,8135,24048,70230
Desonate 0.05% Gel,1286,-731,3250,2943,6954
Doxycycline Mono 150 Mg Tablet,2791,2771,2813,7258,12204
Retin-A Micro Pump 0.06% Gel,1388,-1943,4838,2681,6935
Sernivo 0.05% Spray,6048,-469,12815,12043,22573
Fluocinolone 0.025% Ointment,17976,17959,17993,38865,47305
Clobetasol 0.05% Ointment,931,807,1048,3735,26502
Hydrocortisone 2.5% Ointment,383,379,387,1111,5270
Cephalexin 500 Mg Capsule,-22035,-22047,-22025,-44048,-61422
Myorisan 10 Mg Capsule,-9572,-9710,-9394,-21774,-30051
Jublia 10% Topical Solution,132,-316,571,230,433
Fluocinolone 0.01% Solution,35300,35300,35300,46528,-2920
Amitriptyline Hcl 50 Mg Tab,15847,15841,15855,19181,-23945
Absorica 20 Mg Capsule,-131186,-132788,-129428,-265821,-571500
Desonide 0.05% Ointment,5297,5268,5327,5508,17207
Imiquimod 5% Cream Packet,247,65,431,797,2495
Sod Sulfacet-Sulfur 10-5% Clsr,13185,8713,17797,-3713,-46275
Neo-Synalar 0.5%-0.025% Cream,-6970,-6994,-6948,1306,16589
Clopidogrel 75 Mg Tablet,2122,1443,2825,3592,5575
Sulfamethoxazole-Tmp Ds Tablet,-125,-873,635,165,1407
Solodyn Er 80 Mg Tablet,-975,-3859,1895,-1338,258
Glipizide 10 Mg Tablet,-1781,-1782,-1779,-3979,6668
Tretinoin 0.01% Gel,63377,63351,63412,129695,235755
Clinda-Benzoyl Perox 1-5% Pump,3952,3939,3962,22380,24042
Clobetasol 0.05% Topical Lotn,39772,39692,39844,35913,-16923
Noritate 1% Cream,-20231,-20362,-20105,-20811,-118372
Picato 0.015% Gel,757,507,1007,1439,2242
Jolivette Tablet,530,112,958,861,1450
Doxycycline Ir-Dr 40 Mg Cap,1093,-664,2865,2274,5554
Duloxetine Hcl Dr 20 Mg Cap,564,-110,1219,972,1748
Escitalopram 5 Mg Tablet,36170,35362,36999,57805,69532
Daysee 0.15-0.03-0.01 Mg Tab,95531,95531,95531,269286,508621
Clinda-Tretinoin 1.2%-0.025%,-6556,-9191,-3956,-16686,-29663
Amoxicillin 500 Mg Capsule,28376,28295,28454,54262,80852
Ortho Micronor 0.35 Mg Tablet,1674,1674,1675,702,13623
Trianex 0.05% Ointment,222573,221799,223223,644988,1083540
Dulera 100 Mcg/5 Mcg Inhaler,3933,3932,3933,3211,15642
Doxycycline Mono 150 Mg Cap,-9967,-9967,-9967,-15888,-8074
Finacea 15% Gel,1143,-695,3029,2252,4886
Cloderm 0.1% Cream,6427,5927,6954,9903,16442
Nystatin-Triamcinolone Ointm,1876,1838,1915,376,-9466
Pravastatin Sodium 40 Mg Tab,7400,7327,7469,13625,18529
Avar Cleanser,199333,193802,204850,404123,687646
Selenium Sulfide 2.5% Lotion,16008,16006,16009,66098,154646
Cyclafem 1-35-28 Tablet,-1901,-2008,-1804,-4151,-6292
Absorica 10 Mg Capsule,5161,5160,5161,564,-43960
Clobetasol Prop 0.05% Foam,5460,19,10873,9951,13912
Propranolol 10 Mg Tablet,24736,20120,29389,47582,68794
Hydrocortisone 2.5% Cream,43293,39885,46772,50190,39667
Mirvaso 0.33% Gel Pump,1120,-556,2846,1671,2374
Avar Ls Cleanser,131478,130976,132187,186707,48136
Picato 0.05% Gel,6501,6475,6532,21514,41537
Benzoyl Peroxide 5% Wash,48919,48918,48920,111724,129536
Prednisone 20 Mg Tablet,-1144,-1144,-1144,-3452,-3586
Ibuprofen 600 Mg Tablet,10095,10079,10118,11829,26555
Folic Acid 1 Mg Tablet,37074,36648,37481,48741,6549
Acetaminophen 500 Mg Tablet,3154,3125,3200,15334,36754
Alyacen 1-35-28 Tablet,10349,5405,15232,22624,46612
Absorica 35 Mg Capsule,-25,-139,94,-3129,2113
Estradiol 2 Mg Tablet,22173,22140,22206,49492,105995
Tranexamic Acid 650 Mg Tablet,2231,2227,2234,4404,6910
Ondansetron Odt 4 Mg Tablet,-5809,-5809,-5809,-6197,312
Levono-E Estrad 0.10-0.02-0.01,1340,-3686,6355,3743,10015
Metoprolol Tartrate 100 Mg Tab,-71145,-71145,-71145,-184467,-315207
Gabapentin 600 Mg Tablet,51029,50993,51091,153234,268467
Eszopiclone 2 Mg Tablet,-16850,-16859,-16844,-41007,-97695
Azurette 28 Day Tablet,-1005,-3474,1547,3477,6661
Vienva-28 Tablet,-318,-39896,38561,5797,46504
Lillow-28 Tablet,4343,-6203,14974,8671,22034
Metoprolol Succ Er 50 Mg Tab,-15085,-15105,-15060,-21596,-18018
Gianvi 3 Mg-0.02 Mg Tablet,7457,-22025,37267,15057,24005
Tretinoin Gel Micro 0.04% Tube,-5094,-5132,-5065,-7597,184
Lisinopril-Hydrochlorothiazide 20-12.5 Mg Tab,-19636,-19661,-19607,-74284,-114358
Larin 1.5 Mg-30 Mcg Tablet,1669,-3065,6469,2889,7502
Ranitidine 150 Mg Tablet,19314,19251,19380,36431,55199
Aripiprazole 15 Mg Tablet,17209,17206,17213,26948,14833
Eszopiclone 3 Mg Tablet,-8636,-8666,-8611,-5387,12089
Fenofibrate 160 Mg Tablet,7223,7168,7266,4280,-7883
Larissia-28 Tablet,2328,-19543,24854,5117,7961
Nefazodone Hcl 200 Mg Tablet,-5333,-5654,-5009,-1010,-2641
Proair Hfa 90 Mcg Inhaler,3004,3003,3006,3100,1019
Mono-Linyah 28 Tablet,157339,56633,258096,266870,280530
Methylprednisolone 4 Mg Dosepk,15122,15073,15172,-18805,-108428
Hm Low Dose Aspirin Ec 81 Mg,18606,18605,18607,30187,42013
Tretinoin 0.1% Cream,8840,7876,9800,26116,43332
Adapalene 0.1% Cream,51036,51036,51036,143792,265916
Ultravate 0.05% Lotion,126092,125461,126735,219111,285523
Ecoza 1% Foam,1349,89,2575,34798,73751
Tazorac 0.05% Cream,1428,277,2590,2414,5640
Benzoyl Peroxide 5% Gel,2410,2401,2420,8897,17163
Lessina-28 Tablet,1555,1014,2093,3892,8298
Tretinoin 0.05% Gel,118569,118415,118749,162384,84399
Prevacid Dr 30 Mg Capsule,12561,12560,12562,26377,38474
Veltin 1.2 %-0.025 % Gel,-6553,-7217,-5905,-25335,-67169
Sod Sulfacet-Sulfur 10-2% Clsr,-223373,-223472,-223286,-375390,-385138
Ssd 1% Cream,-45118,-46073,-44260,-62124,-59183
Tretinoin Gel Micro 0.1% Tube,4641,4260,5086,20503,124547
Sod Sulfacetam 10% Clnsng Gel,-323360,-323362,-323358,-732508,-1232011
Minocycline 50 Mg Capsule,-8375,-8397,-8352,-11878,-11327
Chantix Starting Month Box,-228678,-228678,-228678,-498146,-887858
Zyclara 3.75% Cream,8397,8397,8397,24031,32706
Betamethasone Va 0.1% Cream,-5937,-5940,-5934,-13228,-32606
Amox-Clav 875-125 Mg Tablet,-3591,-3591,-3591,-5680,8862
Silver Sulfadiazine 1% Cream,3558,3552,3567,2600,-2219
Clobetasol Prop 0.05% Spray,-2542,-5267,170,-6997,-9211
Androgel 1.62%(2.5g) Gel Pckt,-8780,-8780,-8779,-18924,-23645
Cetirizine Hcl 10 Mg Tablet,-1225,-1383,-1068,-72397,-220577
Bupropion Hcl 75 Mg Tablet,26090,25896,26293,43424,54450
Azelex 20% Cream,-2203,-2203,-2203,-14224,-17589
Tilia Fe 28 Tablet,2855,1390,4328,4346,6459
Clocortolone Pivalate 0.1% Crm,-82533,-82533,-82533,-84700,-55786
Sod Sulface-Sulf 9.8-4.8% Clsr,-433292,-434706,-431744,-774654,-800141
Doxycycline Hyclate 75 Mg Tab,2867,2827,2912,-8546,-33666
Veregen 15% Ointment,532,513,549,9463,28696
Amethyst 90-20 Mcg Tablet,-447,-2018,1125,547,1958
Benazepril Hcl 20 Mg Tablet,4349,4349,4350,9288,16125
Layolis Fe Chewable Tablet,13989,13934,14031,33494,73673
Xiidra 5% Eye Drops,9691,9630,9766,19796,19623
Betamethasone Dp 0.05% Lot,420,420,420,840,1800
Sronyx 0.10-0.02 Mg Tablet,456,-394,1289,564,806
Minocycline Hcl 100 Mg Tablet,-407,-458,-351,-974,-2404
Minocycline Hcl 50 Mg Tablet,26113,26112,26113,52401,72360
Oxybutynin 5 Mg Tablet,7379,7328,7416,79236,118866
Calcipotriene 0.005% Cream,50217,49489,50953,101160,132091
Blisovi Fe 1.5-30 Tablet,158,-1161,1510,707,1240
Calcipotriene-Betameth Dp Oint,250691,250674,250711,600814,1135984
Metronidazole Topical 0.75% Gl,28758,28758,28758,64694,75861
Halobetasol Prop 0.05% Ointmnt,-36739,-36813,-36676,-49425,4053
Doxycycline Hyclate 150 Mg Tab,549,-678,1788,871,5386
Plexion 9.8-4.8% Cleanser,21176,-29639,72478,49782,109581
Ximino Er 90 Mg Capsule,349771,347404,352224,500752,510670
Halobetasol Prop 0.05% Cream,1582,1498,1646,10248,16838
Benzoyl Peroxide 2.5% Gel,-9453,-9456,-9451,-20299,-23078
Triamcinolone 0.025% Cream,-13098,-13120,-13077,-18426,8478
Glycopyrrolate 1 Mg Tablet,19942,19941,19942,27865,34660
Desoximetasone 0.05% Ointment,3577,3577,3577,-36339,-133586
Azithromycin 250 Mg Tablet,-2081,-2096,-2067,-4157,-5728
Amoxicillin 875 Mg Tablet,-9006,-9043,-8969,-15727,-11197
Mirtazapine 30 Mg Tablet,-25677,-25726,-25625,-35723,-28569
"Vitamin D3 2,000 Unit Softgel",13140,13134,13143,21483,18873
Tri-Luma Cream,931,-367,2278,2316,7502
Levocetirizine 5 Mg Tablet,-22247,-22632,-21868,-39205,-49252
Testosterone Cyp 200 Mg/ml,-739,-740,-738,-3052,-8086
Necon 7-7-7-28 Tablet,10507,10490,10524,6792,-3804
Cefuroxime Axetil 250 Mg Tab,368,335,402,1552,5632
Hm Pain Relief 500 Mg Tablet,7019,7019,7019,3453,7292
Flurandrenolide 0.05% Ointment,75785,75771,75804,107026,88024
Solodyn Er 105 Mg Tablet,1509,414,2621,3357,5456
Permethrin 5% Cream,-7440,-7443,-7436,-8436,3613
Solodyn Er 65 Mg Tablet,137236,136889,137588,310106,532937
Fluticasone Prop 0.05% Cream,32382,32381,32382,52432,32891
Noret-Estr-Fe 0.4-0.035(21)-75,58166,58166,58166,111407,158902
Solodyn Er 55 Mg Tablet,-6665,-6954,-6334,-16838,-31016
Cyclafem 7-7-7-28 Tablet,14753,14677,14828,32891,27016
Femynor 28 Tablet,398,-14505,15139,514,-2179
Ciclopirox 0.77% Cream,31416,31416,31416,54750,67905
Bd Ultra-Fine Pen Ndl 5mmx31g,-18973,-18977,-18968,-44364,-59209
Clotrimazole 1% Cream,10941,10938,10944,16892,21242
Fluocinolone 0.01% Scalp Oil,-10463,-10733,-10199,-16906,-4731
Gemfibrozil 600 Mg Tablet,24730,24730,24730,52890,88158
Azithromycin 500 Mg Tablet,1123,1121,1125,-2747,-10258
Lamotrigine 100 Mg Tablet,58243,58201,58287,113577,193958
Selenium Sulfide 2.25% Shampoo,66941,66936,66943,147534,241335
Cordran 4 Mcg/sq Cm Tape Large,3638,3638,3638,8948,14240
Dasetta 1-35-28 Tablet,-5771,-9438,-2080,-9648,-15804
Atenolol 50 Mg Tablet,-27108,-27230,-26967,-37032,-22430
Nortrel 1-35 21 Tablet,-4016,-4017,-4016,-10387,-42417
Xarelto 20 Mg Tablet,22421,22403,22437,34016,23921
Acanya Gel Pump,-7967,-8022,-7898,-19234,-27423
Clocortolone 0.1% Cream Pump,-28968,-28968,-28967,-67586,-110404
Utopic 41% Cream,15105,3313,26417,21638,31635
Doxycycline Hyclate 50 Mg Cap,336,-757,1467,1042,4970
Desonide 0.05% Lotion,-4516,-4740,-4336,-35846,-98473
Fluoxetine Hcl 10 Mg Capsule,-16491,-17100,-15883,-26085,-26757
Effexor Xr 150 Mg Capsule,75927,71328,79783,94364,-133186
Sertraline Hcl 25 Mg Tablet,-222,-1040,598,-602,-1650
Betamethasone Dp 0.05% Oint,315,315,315,630,1350
Minocycline Er 65 Mg Tablet,-3459,-3459,-3459,-547,14495
Mometasone Furoate 0.1% Oint,-8601,-8606,-8593,-12157,-7954
Adapalene 0.3% Gel Pump,-36928,-36933,-36923,-41694,-6542
Benzefoam Ultra 9.8% Foam,-180650,-180861,-180443,-330608,-420067
Sodium Sulfacetamide 10% Wash,63557,63332,63759,129337,324943
Metronidazole Top 1% Gel Pump,-701,-708,-690,12391,1347
Vytone Cream Packet,4870,646,9096,9940,21340
Calcipotriene 0.005% Solution,41346,41346,41346,69959,75504
Sulfacleanse 8-4 Suspension,114123,112218,115273,139735,52782
Clindagel 1% Gel,553837,553807,553856,956437,1443203
Celecoxib 200 Mg Capsule,-6502,-6517,-6488,-9839,-24544
Halog 0.1% Cream,-30747,-30846,-30646,-69500,-85152
Clobetasol 0.05% Gel,-11690,-11690,-11690,-27636,-24132
Necon 0.5-35-28 Tablet,1538,-690,3763,3641,9422
Amethia Lo Tablet,3160,-1926,8251,6757,15488
Lansoprazole Dr 30 Mg Capsule,1507,1451,1557,5835,12499
Alclometasone Dipro 0.05% Crm,163553,163443,163680,265634,306351
Avar-E Ls Cream,138218,137265,139385,295195,422174
Fluocinolone 0.01% Body Oil,-105449,-105449,-105449,-167957,-233647
Ala-Scalp 2% Lotion,-1657,-1658,-1656,-2842,1208
Tretinoin Gel Micro 0.04% Pump,-243,-252,-233,7697,21572
Nicadan Tablet,-9681,-9835,-9542,-18031,-32483
Benzoyl Peroxide 10% Wash,3120,3116,3124,-51155,-168419
Verdeso 0.05% Foam,439,439,439,-14831,3407
Ketoconazole 2% Foam,-3884,-3887,-3881,-21674,-51463
Tolak 4% Cream,-15170,-15170,-15170,-15664,-8826
Phentermine 37.5 Mg Tablet,19,-2,42,2904,19100
Tazorac 0.05% Gel,6648,6647,6650,9926,14490
Zyclara 3.75% Cream Pump,-4295,-4295,-4294,-13188,-29864
Safyral Tablet,-11339,-11454,-11234,-16846,-7519
Calcipotriene 0.005% Ointment,5355,5246,5447,10979,27942
Larin 24 Fe 1 Mg-20 Mcg Tablet,1211,-1278,3631,2383,5615
Naftifine Hcl 2% Cream,420,420,420,840,1800
Sumadan 9%-4.5% Wash,106960,106675,107247,111324,-265761
Ammonium Lactate 12% Cream,-10986,-11026,-10948,-32922,-76654
Diclofenac Sodium 1% Gel,15818,15818,15818,22218,23248
Retin-A 0.05% Cream,394,310,479,588,808
Quasense 0.15-0.03 Mg Tablet,19923,19790,20064,33507,53271
Estradiol 1 Mg Tablet,20658,20658,20658,67145,138902
Impoyz 0.025% Cream,-628,-5018,3807,69,7191
Oxistat 1% Lotion,-13040,-13060,-13018,-36541,-78124
Clobex 0.05% Spray,-89099,-89520,-88716,-411859,-986172
Riax 5.5% Foam,-411,-7173,6452,-2153,-3582
Ondansetron Hcl 4 Mg Tablet,-7235,-7235,-7235,-10004,-4613
Nicaprin Tablet,1079,-2890,4992,3735,11622
Acne Medication 5% Lotion,203,203,203,406,870
Sildenafil Tab 100mg Torr 30@,-6495,-8829,-4092,-8128,-6631
Tazorac 0.1% Gel,-2072,-2076,-2067,-4724,-12180
Betamethasone Valer 0.12% Foam,-1888,-1922,-1865,-24141,-64200
Nolix 0.05% Lotion,3293,-153,6857,7532,17600
Riax 9.5% Foam,5449,2184,8732,13965,27400
Selrx 2.3% Shampoo,8332,-3418,19692,16191,38349
Furosemide 80 Mg Tablet,58832,58757,58888,105704,89511
"Nystatin 100,000 Unit/gm Cream",10367,10331,10408,29440,66443
Myrbetriq Er 25 Mg Tablet,-29659,-29769,-29497,-99495,-209050
Ibuprofen 800 Mg Tablet,-19492,-19492,-19491,-27265,-22328
Levothyroxine 137 Mcg Tablet,-2681,-2836,-2538,-8,15538
Progesterone 200 Mg Capsule,421,-199,1045,1214,3051
Setlakin 0.15 Mg-0.03 Mg Tab,-38459,-38579,-38320,-59616,-33299
Acyclovir 800 Mg Tablet,21915,10778,32823,43210,86930
Glyburide 5 Mg Tablet,9940,9940,9940,10866,-8957
Triamcinolone 0.5% Cream,1635,1601,1668,-347,4504
Norg-Ee 0.18-0.215-0.25/0.035,42174,-6397,91788,84204,163154
Chateal-28 Tablet,-3829,-4283,-3252,-5037,-16607
Synthroid 88 Mcg Tablet,1921,1921,1921,4207,9890
Prazosin 5 Mg Capsule,-3142,-3142,-3142,573,6436
Lisinopril 5 Mg Tablet,143589,143562,143607,208730,151685
Furosemide 40 Mg Tablet,-17258,-17348,-17110,-27079,-23535
Quetiapine Fumarate 50 Mg Tab,213606,213471,213741,367358,472124
Metoprolol Succ Er 100 Mg Tab,39631,39631,39631,58435,37907
Hydrocortisone 2.5% Lotion,-130585,-130585,-130585,-255445,-332587
Cephalexin 250 Mg Tablet,248,248,248,303,62
Venlafaxine Hcl 37.5 Mg Tablet,33552,33436,33671,61713,72204
Epiduo 0.1-2.5% Gel Pump,57433,57433,57433,89939,115395
Clindamycin Phosphate 1% Foam,-940,-1077,-798,-6034,22490
Mesalamine Dr 1.2 Gm Tablet,17522,17507,17537,33654,147824
Clonidine Hcl 0.2 Mg Tablet,-35654,-35655,-35653,-60002,-56601
Ferrous Sulfate 325 Mg Tablet,-5431,-5964,-4860,-7171,2998
Sucralfate 1 Gm Tablet,25512,25414,25587,32264,10187
Nolix 0.05% Cream,791,-1118,2693,1377,4326
Hydrochlorothiazide 12.5 Mg Cp,8103,8094,8114,19306,30313
Montelukast Sod 5 Mg Tab Chew,-110663,-110663,-110663,-263922,-425756
Philith 0.4-0.035 Mg Tablet,960,-1156,2997,1852,3773
Qvar Redihaler 80 Mcg,5267,5262,5272,11267,7536
Xalix 28% Solution,8090,7956,8226,14886,19863
Bimatoprost 0.03% Eyelash Soln,-2044,-2045,-2044,-2921,-625
Benzepro 6% Foaming Cloths,6283,6283,6283,10963,5946
Neuac Gel,158754,157965,159631,302083,289860
Ovace Plus Wash 10% Clnsng Gel,77796,77615,78137,425193,1145073
Januvia 100 Mg Tablet,-6026,-6026,-6026,-22331,-64006
Simvastatin 80 Mg Tablet,-6854,-6892,-6814,-19150,-29558
Linzess 145 Mcg Capsule,-8874,-8877,-8871,-8534,12588
Ropinirole Hcl 2 Mg Tablet,41119,41102,41135,74384,224493
Lamotrigine 150 Mg Tablet,12769,12768,12769,30014,55766
Doxycycline Hyc Dr 50 Mg Tab,-19636,-26198,-12985,-41904,-84553
Breo Ellipta 100-25 Mcg Inh,-1387,-1614,-1143,-2019,-4363
Quetiapine Fumarate 25 Mg Tab,5616,5100,6129,9140,11508
Dasetta 7/7/7-28 Tablet,-9640,-9653,-9631,-29365,-33948
Minocycline Er 90 Mg Tablet,1973,1940,2005,8924,43043
Plexion 9.8-4.8% Clnsing Cloth,271,-2684,3237,-29,159
Vesicare 5 Mg Tablet,-23173,-23173,-23173,-51825,-57089
Plexion 9.8-4.8% Cream,-3030,-6098,16,-4838,-4000
Larin 21 1-20 Tablet,-30611,-38877,-22418,-40877,-19342
Doxycycline Hyc Dr 100 Mg Tab,-2006,-3109,-920,-4207,-6765
Plexion 9.8-4.8% Lotion,1057,-1435,3612,2294,1959
Tri-Lo-Estarylla Tablet,-93793,-107779,-80333,-413021,-852451
Urea 20% Cream,-15527,-15529,-15526,-42696,-112369
Ala-Quin 3-0.5% Cream,265328,265328,265328,457675,496905
Np Thyroid 60 Mg Tablet,210,210,210,420,900
Midodrine Hcl 10 Mg Tablet,27147,26555,27698,51666,96465
Rhopressa 0.02% Ophth Solution,-739,-804,-680,692,3655
Zolpidem Tart Er 12.5 Mg Tab,4288,4288,4288,6233,13996
Bupropion Hcl Sr 100 Mg Tablet,1123,463,1783,1244,1560
Sod Sulface-Sulfur 9-4.5% Wash,108697,108572,108880,262545,654209
Pantoprazole Sod Dr 20 Mg Tab,13043,13039,13049,11886,1595
Zolpidem Tartrate 10 Mg Tablet,210,210,210,420,900
Perforomist 20 Mcg/2 Ml Soln,-7258,-8349,-6512,-89431,-315680
Cymbalta 60 Mg Capsule,13959,13731,14191,16403,14811
Magnesium Oxide 250 Mg Tablet,23902,23860,23951,44075,53304
Prazosin 1 Mg Capsule,-19309,-19405,-19221,-38594,-74654
Nitrofurantoin Mono-Mcr 100 Mg,2251,2191,2312,5047,10101
Diclofenac Sod Er 100 Mg Tab,2507,2500,2514,-31800,-101370
Nifedipine Er 60 Mg Tablet,-7816,-7816,-7816,-10198,2097
Glipizide Er 10 Mg Tablet,-5671,-5671,-5671,-39442,-126961
Levothyroxine 200 Mcg Tablet,-10265,-10296,-10234,-13982,-12919
Levetiracetam 750 Mg Tablet,21378,21292,21434,58996,207238
Lantus 100 Units/ml Vial,-4733,-4741,-4724,-13247,-25584
Edarbyclor 40-12.5 Mg Tablet,5910,5908,5913,18323,51724
Metronidazole 500 Mg Tablet,2369,1831,2883,4844,9485
Addyi 100 Mg Tablet,12972,9248,16745,25995,41931
Leucovorin Calcium 5 Mg Tab,-694,-708,-679,-1446,-1873
Altabax 1% Ointment,-17151,-17152,-17151,-38910,-58453
Doxazosin Mesylate 8 Mg Tab,-40933,-40933,-40933,-98794,-154265
Qbrexza 2.4% Cloth,-4010,-6710,-1290,-12388,-21264
Norg-Ee 0.18-0.215-0.25/0.025,154545,141513,167481,299690,448977
Benztropine Mes 0.5 Mg Tab,3718,3577,3844,-868,-10344
Amitriptyline Hcl 25 Mg Tab,8691,8661,8726,17913,31573
Urea 40% Cream,336447,336443,336453,634358,818531
Calcium 600 Mg Tablet,62506,62506,62506,120170,164583
Clindamycin Phosphate 1% Gel,52694,52560,52824,84063,82928
Tacrolimus 0.03% Ointment,21807,21807,21807,53224,119227
Buspirone Hcl 5 Mg Tablet,3940,1585,6241,11004,24371
Altreno 0.05% Lotion,710,-1131,2526,876,1597
Fluoxetine Hcl 20 Mg Tablet,26061,25085,27057,51427,72696
Glimepiride 4 Mg Tablet,5594,5594,5594,11675,14027
Hm Omeprazole Dr 20 Mg Tablet,4880,4880,4880,-2079,-27073
Atovaquone-Proguanil 250-100 Mg Tablet,-7370,-7370,-7369,-14997,-26697
Minocycline Er 115 Mg Tablet,5546,5545,5546,49185,165698
Fetzima Er 120 Mg Capsule,-11732,-11791,-11671,-24128,-35260
Mesalamine 4 Gm/60 Ml Enema,-456463,-456479,-456449,-29407,865278
Duloxetine Hcl Dr 40 Mg Cap,1009,794,1220,-931,-3810
Dermotic Oil 0.01% Ear Drops,3659,3651,3670,-5670,-47522
Clobetasol Emulsion 0.05% Foam,-317665,-317918,-317429,-688531,-1168267
Venlafaxine Hcl Er 37.5 Mg Cap,-67563,-70782,-64374,-141464,-208027
Podiapn Capsule,30020,30020,30020,45729,46380
Armour Thyroid 15 Mg Tablet,-2061,-2076,-2048,-2982,-1056
Apriso Er 0.375 Gram Capsule,29722,29422,30029,41446,63921
Xerese 5%-1% Cream,8414,8414,8414,11461,7048
Dicyclomine 10 Mg Capsule,33908,32606,35528,14676,-92542
Esomeprazole Mag Dr 20 Mg Cap,-6972,-7095,-6786,-1551,27049
Propranolol Er 160 Mg Capsule,-9315,-9396,-9237,-16688,-24568
Potassium Cl Er 20 Meq Tablet,111790,111786,111796,310300,521139
Fenofibrate 145 Mg Tablet,-6098,-6098,-6098,-4435,8534
Digoxin 0.125 Mg Tablet,10015,10005,10025,21065,13794
Simvastatin 10 Mg Tablet,1497,1475,1517,443,-3744
Clind Ph-Benzoyl Pero 1.2-2.5%,-26529,-26531,-26526,-83455,-146079
Propranolol 40 Mg Tablet,-3659,-3664,-3653,-5660,-4997
Azelaic Acid 15% Gel,27448,26995,27837,113781,263199
Sulfacetamide-Sulfur 10-5% Crm,-4137,-4153,-4121,-737,10248
Norg-Ethin Estra 0.25-0.035 Mg,-24040,-24055,-24029,-47490,-64802
Minocycline Hcl 75 Mg Tablet,-789,-851,-723,-1287,-983
Paroxetine Hcl 10 Mg Tablet,632,357,873,-823,359
Aripiprazole 5 Mg Tablet,13043,12757,13316,25780,37010
Paroxetine Hcl 40 Mg Tablet,3907,3714,4109,-660,-49501
Sertraline Hcl 50 MG TAB,74341,69445,79439,143143,211688
Tadalafil 5 Mg Tablet,-133588,-137083,-130134,-259223,-347213
Sumatriptan Succ 100 Mg Tablet,-6186,-6360,-6015,-3595,2728
Humalog 100 Units/ml Vial,7016,7013,7019,11294,14082
Mometasone Furoate 50 Mcg Spry,2738,2738,2739,15488,33511
Hydrocortisone Buty 0.1% Cream,11832,11821,11843,20093,21395
"Vitamin D3 5,000 Unit Capsule",-19217,-19217,-19217,-54720,-138894
Triamterene-Hydrochlorothiazide 75-50 Mg Tab,18513,18511,18515,26628,28111
Carvedilol 25 Mg Tablet,-16651,-17603,-15714,-29266,-52560
Doxycycline 50 Mg Tablet,69156,66330,72143,107405,119009
Doxazosin Mesylate 2 Mg Tab,-19338,-19338,-19338,-27166,-14388
Lamotrigine 25 Mg Tablet,63653,63653,63653,100727,121437
Isibloom 28 Day Tablet,-92715,-100304,-85072,77522,635380
Victoza 2-Pak 18 Mg/3 Ml Pen,14475,14460,14489,27919,44654
Doxycycline Mono 75 Mg Capsule,-1765,-1820,-1705,-3619,-22790
Hydrocortisone 5 Mg Tablet,85939,85939,85939,132478,90111
Minocycline Er 55 Mg Tablet,6163,6163,6163,18828,32575
Olanzapine 2.5 Mg Tablet,12882,12877,12887,26115,66020
Quinapril 40 Mg Tablet,987,979,994,5134,15533
Naftin 2% Gel,7140,7140,7140,12152,49484
Bryhali 0.01% Lotion,2195,-5256,9700,4625,10970
Buspirone Hcl 10 Mg Tablet,-261,-1670,1170,-60,2097
Lamotrigine 200 Mg Tablet,-8028,-8028,-8028,-32198,-59774
Methotrexate 2.5 Mg Tablet,14051,13989,14100,16926,-9944
Donepezil Hcl 10 Mg Tablet,29099,29099,29099,80470,158663
Hydroxyzine Pam 25 Mg Cap,66565,66519,66607,121825,115123
Metronidazole 0.75% Lotion,-80203,-80271,-80139,-136266,-122459
Synthroid 150 Mcg Tablet,10183,10102,10272,13752,24060
Armour Thyroid 180 Mg Tablet,630,630,630,1260,2700
Sildenafil 50 Mg Tablet,11944,11540,12352,24732,36819
Chlorzoxazone 500 Mg Tablet,-9890,-9890,-9890,-57058,-89782
Hydrocort Buty 0.1% Lipo Cream,-7466,-7466,-7466,-20927,-46546
Buprenorphine-Naloxone 2-0.5 Mg Sl Tablet,-19209,-19209,-19208,-33319,-42271
Mirtazapine 7.5 Mg Tablet,-6445,-8067,-4774,-13823,-20040
Memantine Hcl 5 Mg Tablet,13640,13630,13652,21297,24020
Hm Sleep Aid 25 Mg Tablet,4543,4539,4547,7924,10511
Sumaxin Cleansing Pads,-212,-247,-155,1203,-12245
Hydrochlorothiazide 12.5 Mg Tb,-3662,-3923,-3372,-6378,-8083
Kelnor 1-50 Tablet,6726,6594,6851,9902,7692
Tazorac 0.1% Cream,-73747,-73783,-73700,-89461,-25519
Latanoprost 0.005% Eye Drops,-289,-315,-251,-754,-1621
Mirtazapine 15 Mg Tablet,12181,11826,12553,21763,29875
Descovy 200-25 Mg Tablet,4248,4248,4248,8928,16178
Tivicay 50 Mg Tablet,4248,4248,4248,8928,16178
Buprenorphine-Naloxone 8-2 Mg Sl Tablet,50,49,50,801,3295
Banophen 25 Mg Tablet,210,210,210,420,900
Zomig 5 Mg Nasal Spray,857,857,857,2320,4052
Chlorhexidine 0.12% Rinse,329110,329103,329119,990518,1902061
Erythromycin 2% Solution,7223,6732,7697,24095,43141
Glipizide Er 5 Mg Tablet,-8348,-8348,-8348,914,24352
Venlafaxine Hcl 75 Mg Tablet,-27248,-27249,-27247,-44253,-21536
Alendronate Sodium 70 Mg Tab,837,835,839,1662,2782
Fluoxetine Hcl 10 Mg Tablet,8020,7808,8242,11977,13059
Entresto 49 Mg-51 Mg Tablet,-17350,-17350,-17350,-28284,-8180
