drug,7_days,7_days_min,7_days_max,14_days,30_days
Hydroxyzine Hcl 50 Mg Tablet,161,161,161,532,5814
Hydroxyzine Pam 25 Mg Cap,3677,3676,3677,8827,4716
Ibuprofen 600 Mg Tablet,110,110,110,-699,-6665
Ibuprofen 800 Mg Tablet,-555,-555,-555,-2252,-6794
Imiquimod 5% Cream Packet,1443,934,1963,2811,2196
Impoyz 0.025% Cream,3355,-8997,16136,7861,9489
Indomethacin 50 Mg Capsule,2034,2034,2034,5257,12220
Introvale 0.15-0.03 Mg Tablet,-910,-910,-910,-5436,-19536
Isibloom 28 Day Tablet,14044,12911,15093,22957,-69203
Ivermectin 3 Mg Tablet,819,818,819,1656,1250
Januvia 100 Mg Tablet,6802,6796,6813,12637,13932
Jardiance 25 Mg Tablet,2174,2170,2176,4168,4109
Jolessa 0.15 Mg-0.03 Mg Tablet,764,740,793,7651,31510
Jolivette Tablet,37,-59,134,260,1150
Jublia 10% Topical Solution,88,-2930,3085,455,2665
Juleber 28 Day Tablet,499,-949,1953,2259,10884
Junel 1 Mg-20 Mcg Tablet,149,-492,785,367,877
Junel 1.5 Mg-30 Mcg Tablet,186,-705,1068,457,1665
Junel Fe 1 Mg-20 Mcg Tablet,33,-1040,1095,93,289
Junel Fe 1.5 Mg-30 Mcg Tablet,352,-2180,2869,741,3189
Junel Fe 24 Tablet,347,-1670,2400,334,-170
Kaitlib Fe Chewable Tablet,6193,6053,6346,45282,86580
Kariva 28 Day Tablet,-229,-1083,625,-518,1071
Kelnor 1-35 28 Tablet,732,-213,1698,1452,2462
Kelnor 1-50 Tablet,2830,2766,2870,2971,-15656
Keralac 47% Cream,-1116,-4883,2575,114,8678
Kerydin 5% Topical Solution,-39355,-40196,-38405,-74801,-137679
Ketoconazole 2% Cream,215,-209,627,459,1047
Ketoconazole 2% Foam,8006,7978,8022,6386,-59675
Ketoconazole 2% Shampoo,-6,-152,136,-60,-319
Ketorolac 10 Mg Tablet,1451,1445,1459,5249,15176
L-Methylfolate Calcium 15 Mg,-73,-98,-48,-457,-2073
Labetalol Hcl 200 Mg Tablet,2980,2971,2991,14669,48266
Lamotrigine 100 Mg Tablet,1562,1558,1566,5713,38764
Lamotrigine 150 Mg Tablet,-53,-54,-53,306,1180
Lamotrigine 200 Mg Tablet,553,527,592,-4063,-25629
Lamotrigine 25 Mg Tablet,-34,-41,-30,-971,-7110
Lamotrigine Er 250 Mg Tablet,-103857,-104251,-103635,-274403,-822893
Lansoprazole Dr 30 Mg Capsule,6023,6022,6025,17227,47253
Lantus 100 Units/ml Vial,-2183,-2237,-2104,3271,50087
Larin 1.5 Mg-30 Mcg Tablet,878,-805,2512,1542,3506
Larin 21 1-20 Tablet,3870,523,7359,6650,-1511
Larin 24 Fe 1 Mg-20 Mcg Tablet,234,-1675,2109,227,-139
Larin Fe 1-20 Tablet,18,-282,329,-150,-725
Larin Fe 1.5-30 Tablet,3661,-885,8154,6784,13887
Larissia-28 Tablet,-457,-2936,2015,-1177,-4190
Latanoprost 0.005% Eye Drops,4146,4146,4147,5997,-25724
Latisse 0.03% Eyelash Solution,21553,16605,26557,45052,108080
Layolis Fe Chewable Tablet,-11228,-11234,-11219,-749,95435
Leena 28 Tablet,-1220,-1231,-1206,-288,5882
Lessina-28 Tablet,338,205,475,1494,3746
Leucovorin Calcium 5 Mg Tab,61,60,61,148,92
Levetiracetam 500 Mg Tablet,1425,1399,1457,1922,-6669
Levetiracetam 750 Mg Tablet,-1096,-1096,-1096,-1433,-888
Levitra 2.5 Mg Tablet,974,935,1017,3820,14123
Levitra 20 Mg Tablet,175,173,176,751,2658
Levocetirizine 5 Mg Tablet,159,127,190,933,6980
Levonest-28 Tablet,-8,-192,178,139,761
Levono-E Estrad 0.10-0.02-0.01,-124,-4958,4619,-838,-9881
Levono-E Estrad 0.15-0.03-0.01,22971,4004,41301,63513,206830
Levonor-Eth Estra 0.09-0.02 Mg,-48,-828,729,182,2233
Levonor-Eth Estrad 0.1-0.02 Mg,34071,24307,43689,103280,360463
Levonor-Eth Estrad 0.15-0.03,225,-1709,2161,70,-634
Levonorgestrel-Eth Estrad 0.15 Mg-0.03 Mg Tablet,1426,-1367,4308,3001,6685
Levora-28 Tablet,151,-594,895,498,1503
Levothyroxine 100 Mcg Tablet,1095,1090,1099,2452,17137
Levothyroxine 112 Mcg Tablet,211,211,211,793,2980
Levothyroxine 137 Mcg Tablet,-2727,-2753,-2696,-5833,31482
Levothyroxine 150 Mcg Tablet,-12960,-12960,-12959,-18818,-6339
Levothyroxine 175 Mcg Tablet,4424,4415,4432,18155,47907
Levothyroxine 200 Mcg Tablet,-2546,-2549,-2543,-1702,6863
Levothyroxine 25 Mcg Tablet,-479,-489,-470,813,-2757
Levothyroxine 50 Mcg Tablet,50,-54,155,42,0
Levothyroxine 75 Mcg Tablet,70,-5,147,288,833
Levothyroxine 88 Mcg Tablet,-916,-917,-915,-2837,-7681
Lexette 0.05% Foam,-33445,-156167,104825,161647,2006104
Lillow-28 Tablet,2864,70,5691,6589,10868
Linzess 145 Mcg Capsule,-281,-283,-277,-6572,-18896
Linzess 290 Mcg Capsule,-326,-326,-325,-106,6963
Liothyronine Sod 5 Mcg Tab,-10714,-10769,-10673,-20721,-16813
Lisinopril 10 Mg Tablet,83,-14,180,105,-2
Lisinopril 20 Mg Tablet,9,-27,45,-2,5
Lisinopril 40 Mg Tablet,234,165,300,557,1297
Lisinopril 5 Mg Tablet,408,406,412,4278,-1988
Lisinopril-Hydrochlorothiazide 10-12.5 Mg Tab,-1703,-1703,-1703,-3972,-2624
Lisinopril-Hydrochlorothiazide 20-12.5 Mg Tab,2442,2391,2489,14382,36739
Lisinopril-Hydrochlorothiazide 20-25 Mg Tab,227,212,244,478,1391
Livalo 4 Mg Tablet,141,140,143,-117,-1906
Lo Loestrin Fe 1-10 Tablet,-632,-3680,2495,-1271,-3781
Loestrin 21 1-20 Tablet,4747,4724,4776,24041,80408
Loestrin Fe 1-20 Tablet,-278,-954,398,-514,-1546
Loestrin Fe 1.5-30 Tablet,-87,-1991,1770,-252,-917
Loratadine 10 Mg Tablet,57,39,75,125,307
Loryna 3 Mg-0.02 Mg Tablet,15807,11281,20347,32001,71207
Losartan Potassium 100 Mg Tab,-159,-630,300,-201,-499
Losartan Potassium 25 Mg Tab,2252,2250,2254,5633,12432
Losartan Potassium 50 Mg Tab,-224,-376,-69,-489,-1163
Losartan-Hydrochlorothiazide 100-12.5 Mg Tab,-151,-151,-151,-164,1151
Losartan-Hydrochlorothiazide 100-25 Mg Tab,-181,-181,-181,-1486,-8555
Lovastatin 20 Mg Tablet,-52,-53,-52,138,1610
Lovastatin 40 Mg Tablet,-765,-768,-762,-793,4871
Low-Ogestrel-28 Tablet,-538,-1815,741,-1738,-6126
Lutera-28 Tablet,215,-10047,10697,6653,48100
Luzu 1% Cream,-728,-975,-427,12455,-121792
Lyrica 150 Mg Capsule,-6080,-6084,-6075,-12965,-46326
Magnesium Oxide 250 Mg Tablet,43,43,43,98,-177
Marlissa-28 Tablet,3032,-6,6067,5152,9295
Meclizine 25 Mg Tablet,2337,2337,2338,7633,20644
Medroxyprogesterone 10 Mg Tab,-116,-116,-115,-861,167
Melodetta 24 Fe Chewable Tab,1929,-7330,10955,12609,58992
Meloxicam 15 Mg Tablet,213,213,213,700,3806
Memantine Hcl 5 Mg Tablet,5439,5436,5442,12963,22443
Mesalamine 4 Gm/60 Ml Enema,30000,29862,30103,62212,93543
Mesalamine Dr 1.2 Gm Tablet,499618,499126,499960,987951,102099
Metamucil Powder,134,131,138,2458,10858
"Metformin Hcl 1,000 Mg Tablet",-540,-587,-488,-1101,1920
Metformin Hcl 500 Mg Tablet,-122,-458,215,-476,369
Metformin Hcl 850 Mg Tablet,409,403,415,3206,16642
Metformin Hcl Er 500 Mg Tablet,-38,-55,-27,-144,301
Methotrexate 2.5 Mg Tablet,-585,-595,-577,464,7382
Methylprednisolone 4 Mg Dosepk,-26391,-26432,-26364,-75101,-109421
Metoprolol Succ Er 100 Mg Tab,-2576,-2576,-2576,-7514,-2311
Metoprolol Succ Er 200 Mg Tab,-38,-38,-37,-460,-2492
Metoprolol Succ Er 25 Mg Tab,-55,-225,117,-1852,-26229
Metoprolol Succ Er 50 Mg Tab,44,44,46,1148,4068
Metoprolol Tartrate 100 Mg Tab,-2532,-2532,-2532,-2617,6468
Metoprolol Tartrate 25 Mg Tab,1049,995,1104,2803,8638
Metoprolol Tartrate 50 Mg Tab,-1343,-1350,-1338,-4398,-7847
Metronidazole 0.75% Cream,312,-481,1113,733,2759
Metronidazole 0.75% Lotion,-9985,-9985,-9985,-23226,-17172
Metronidazole 500 Mg Tablet,621,329,900,1012,749
Metronidazole Top 1% Gel Pump,22810,22791,22831,82038,200488
Metronidazole Topical 0.75% Gl,-35732,-35782,-35700,-34261,35561
Metronidazole Topical 1% Gel,852,551,1222,301,3933
Mexiletine 150 Mg Capsule,90192,90115,90265,164016,10220
Mibelas 24 Fe Chewable Tablet,13492,4358,22395,50284,223626
Microgestin 21 1-20 Tablet,93,-630,846,148,255
Microgestin 21 1.5-30 Tab,115,-324,539,270,578
Microgestin Fe 1-20 Tablet,-25,-607,540,-224,-1390
Microgestin Fe 1.5-30 Tab,467,-194,1148,1201,2800
Midodrine Hcl 10 Mg Tablet,723,719,726,648,-1483
Minastrin 24 Fe Chewable Tab,-1700,-3513,171,-5243,-20404
Minocycline 100 Mg Capsule,78,-130,284,138,279
Minocycline 50 Mg Capsule,-791,-795,-786,-2290,-14421
Minocycline Er 115 Mg Tablet,69285,68993,69669,213670,73204
Minocycline Er 55 Mg Tablet,-5307,-5421,-5164,-51803,-45708
Minocycline Er 65 Mg Tablet,25823,25823,25823,79845,368125
Minocycline Er 90 Mg Tablet,90228,90126,90349,178353,420654
Minocycline Hcl 100 Mg Tablet,127,87,180,1459,5163
Minocycline Hcl 50 Mg Tablet,-5118,-5130,-5094,-15880,-42148
Minocycline Hcl 75 Mg Tablet,1916,1888,1942,2803,-8332
Mirtazapine 15 Mg Tablet,598,494,705,2596,14454
Mirtazapine 30 Mg Tablet,2267,2255,2279,7438,38141
Mirtazapine 7.5 Mg Tablet,1108,699,1522,5541,31936
Mirvaso 0.33% Gel,-31543,-31547,-31537,-97035,-254050
Mirvaso 0.33% Gel Pump,111,-1357,1549,257,1634
Modafinil 200 Mg Tablet,-1156,-1156,-1156,-2439,-22695
Mometasone Furoate 0.1% Cream,-6124,-6124,-6124,-17102,-30383
Mometasone Furoate 0.1% Oint,963,959,965,4437,20187
Mometasone Furoate 50 Mcg Spry,1023,1021,1023,3950,7956
Mono-Linyah 28 Tablet,-5279,-35002,24906,-10977,-48714
Mononessa 28 Tablet,-77,-618,461,-197,-530
Montelukast Sod 10 Mg Tablet,143,-206,495,338,882
Montelukast Sod 5 Mg Tab Chew,1664,1660,1666,5169,15947
Mupirocin 2% Ointment,179,-33,385,585,1389
My Way 1.5 Mg Tablet,721,-39,1467,1424,3287
Mycophenolate 500 Mg Tablet,3815,3815,3815,6240,1542
Myorisan 10 Mg Capsule,-24358,-24371,-24348,-9712,92605
Myorisan 20 Mg Capsule,1357,260,2429,2646,8334
Myorisan 30 Mg Capsule,10,-6403,6523,642,-2726
Myorisan 40 Mg Capsule,2565,-3260,8394,4946,6360
Myrbetriq Er 25 Mg Tablet,150799,150708,150840,356819,963712
Myrbetriq Er 50 Mg Tablet,13122,13122,13122,34617,66679
Myzilra-28 Tablet,-178038,-178463,-177573,-450143,-541648
Naftifine Hcl 2% Cream,-449,-452,-446,-2357,-13225
Naftin 2% Gel,-6009,-6015,-6003,-9829,-2018
Naltrexone 50 Mg Tablet,-531,-789,-267,-2265,-6737
Naproxen 500 Mg Tablet,-2073,-2114,-2032,-3392,-6177
Natazia 28 Tablet,73,-199,347,322,830
Necon 0.5-35-28 Tablet,580,-607,1785,1151,1719
Necon 7-7-7-28 Tablet,79,67,93,-58,397
Nefazodone Hcl 200 Mg Tablet,1355,1348,1358,6783,20820
Neo-Synalar 0.5%-0.025% Cream,1769,1769,1770,7810,17420
Neuac Gel,40339,40155,40461,-54706,-671134
Nicadan Tablet,6755,6752,6758,14195,26074
Nicaprin Tablet,1748,-2630,6065,4243,11027
Nifedipine Er 60 Mg Tablet,1884,1883,1884,3716,-980
Nikki 3 Mg-0.02 Mg Tablet,1140,-14171,16164,1096,-9191
Nitrofurantoin Mcr 50 Mg Cap,9357,9276,9450,35826,98807
Nitrofurantoin Mono-Mcr 100 Mg,-931,-935,-928,-2322,-8014
Nolix 0.05% Cream,-30235,-45294,-15215,-57346,-117656
Nolix 0.05% Lotion,-10601,-18204,-2858,-18294,-32016
Nora-Be Tablet,15,-323,355,43,101
Noret-Estr-Fe 0.4-0.035(21)-75,9408,9289,9556,37709,187784
Noreth-Estrad-Fe 1-0.02(21)-75,29860,21284,38630,70950,194751
Noreth-Estrad-Fe 1-0.02(24)-75,1884,-4515,8430,2148,1930
Norethin-Estra-Fe 0.8-0.025 Mg,-776,-2390,823,-1741,-3883
Norethind-Eth Estrad 1-0.02 Mg,-860,-4161,2432,-2899,-11282
Norethindrone 0.35 Mg Tablet,11075,-2285,24169,23348,61811
Norg-Ee 0.18-0.215-0.25/0.025,1500,-3149,6251,-24604,-405156
Norg-Ee 0.18-0.215-0.25/0.035,-3789,-19092,11396,-19078,-132473
Norg-Ethin Estra 0.25-0.035 Mg,-8131,-8140,-8126,-22306,-4601
Noritate 1% Cream,-10118,-10332,-9969,-23004,204715
Norlyda 0.35 Mg Tablet,-3346,-4583,-2117,-21968,-234546
Nortrel 0.5-35-28 Tablet,52,-425,522,65,94
Nortrel 1-35 21 Tablet,-1256,-1256,-1254,-786,2377
Nortrel 1-35 28 Tablet,35,-1999,2120,-375,-2062
Nortrel 7-7-7-28 Tablet,-67,-745,616,-65,75
Nortriptyline Hcl 25 Mg Cap,-226,-232,-215,462,2866
Nortriptyline Hcl 75 Mg Cap,-964,-967,-962,-2059,-7918
Novolog 100 Units/ml Flexpen,1882,1882,1882,3613,4453
Np Thyroid 60 Mg Tablet,120,119,121,814,3238
Nuedexta 20-10 Mg Capsule,1017,1015,1019,1922,-650
Nuvaring Vaginal Ring,-2387,-6128,1460,-5441,-14735
"Nystatin 100,000 Unit/gm Cream",463,463,463,1751,2977
Nystatin-Triamcinolone Cream,-3952,-3959,-3949,-12370,-49620
Nystatin-Triamcinolone Ointm,-7706,-7729,-7684,-26614,-60787
Ocella 3 Mg-0.03 Mg Tablet,503,-4096,5091,272,-2557
Ogestrel Tablet,-1798,-1888,-1710,-4442,-4488
Olanzapine 15 Mg Tablet,-4380,-4391,-4366,-10106,-11406
Olanzapine 2.5 Mg Tablet,1367,1366,1368,3404,2694
Olanzapine 5 Mg Tablet,-147,-170,-130,4292,28609
Omega-3 Ethyl Esters 1 Gm Cap,663,663,663,3118,16701
Omeprazole Dr 20 Mg Capsule,39,-77,156,95,321
Omeprazole Dr 40 Mg Capsule,-42,-175,93,-115,218
Ondansetron Hcl 4 Mg Tablet,-339,-339,-339,-868,340
Ondansetron Odt 4 Mg Tablet,-181,-181,-181,-925,-506
Onexton Gel Pump,1081,-2088,4303,3245,10224
Oracea 40 Mg Capsule,2812,-6183,11923,7680,20868
Orsythia-28 Tablet,-238,-669,202,-622,-2388
Ortho Micronor 0.35 Mg Tablet,1160,1157,1163,1938,61
Ortho Tri-Cyclen 28 Tablet,-2,-297,289,-99,-190
Ortho Tri-Cyclen Lo Tablet,1286,152,2364,8001,62866
Ortho-Cyclen 28 Tablet,-715,-1401,3,-3857,-16221
Ovace Plus Wash 10% Clnsng Gel,-2134,-2134,-2134,-3794,-6711
Oxistat 1% Lotion,-680,-684,-677,-3994,-17792
Oxybutynin 5 Mg Tablet,1533,1533,1533,43966,160981
Oxybutynin Cl Er 10 Mg Tablet,1129,1129,1129,4183,4042
Pantoprazole Sod Dr 20 Mg Tab,230,229,231,831,2077
Pantoprazole Sod Dr 40 Mg Tab,169,-341,666,700,2821
Paroxetine Hcl 10 Mg Tablet,965,946,992,4331,18505
Paroxetine Hcl 20 Mg Tablet,-2,-120,117,-142,-495
Paroxetine Hcl 30 Mg Tablet,-960,-961,-958,-1948,-2074
Paroxetine Hcl 40 Mg Tablet,-5995,-5997,-5994,-16841,-32403
Pentoxifylline Er 400 Mg Tab,-136,-138,-134,-851,-631
Perforomist 20 Mcg/2 Ml Soln,28146,28128,28168,83292,141791
Permethrin 5% Cream,-1768,-1768,-1768,-2699,-4344
Phenazopyridine 200 Mg Tab,22886,22869,22904,40297,80880
Phentermine 37.5 Mg Tablet,6832,6832,6832,16186,22861
Philith 0.4-0.035 Mg Tablet,283,-966,1560,535,1563
Picato 0.015% Gel,-2517,-6458,1462,-2146,3351
Picato 0.05% Gel,50152,49659,50605,216956,455186
Pimecrolimus 1% Cream,150281,150281,150281,274326,-39657
Pimtrea 28 Day Tablet,-213,-2443,2002,234,-1891
Pioglitazone Hcl 30 Mg Tablet,161,161,161,-122,-656
Pirmella 1-35-28 Tablet,-2338,-2345,-2333,-9421,-30639
Plexion 9.8-4.8% Cleanser,3614,-5311,12780,8395,18605
Plexion 9.8-4.8% Clnsing Cloth,-218,-3120,2691,-564,-116
Plexion 9.8-4.8% Cream,-1298,-5444,2842,-4289,-14742
Plexion 9.8-4.8% Lotion,-1756,-5333,1914,-3080,-1085
Podiapn Capsule,-494,-495,-492,-2409,-8947
Portia-28 Tablet,1143,-1827,4153,3650,13289
Potassium Citrate Er 15 Meq Tb,4962,4946,4977,-1876,-85688
Potassium Cl Er 10 Meq Tablet,89,-27,235,-2201,-35693
Potassium Cl Er 20 Meq Tablet,-2584,-2585,-2584,-1994,13673
Potassium Cl Er 8 Meq Capsule,-281,-284,-279,-2010,-1157
Pravastatin Sodium 10 Mg Tab,111,107,117,418,1825
Pravastatin Sodium 40 Mg Tab,-12475,-12497,-12440,-29558,-168285
Prazosin 1 Mg Capsule,-350,-367,-333,6145,41862
Prazosin 2 Mg Capsule,-461,-462,-460,-1063,-1848
Prazosin 5 Mg Capsule,10,10,10,-489,7238
Prednisone 1 Mg Tablet,-468,-469,-468,-2820,-8324
Prednisone 10 Mg Tablet,7495,7493,7498,22391,45673
Prednisone 20 Mg Tablet,524,524,524,1457,7133
Prednisone 5 Mg Tablet,-42,-42,-42,-339,-813
Prempro 0.3 Mg-1.5 Mg Tablet,-99,-99,-99,2531,17105
Prevacid Dr 30 Mg Capsule,161,142,177,-1101,-10454
Previfem Tablet,98,27,170,284,1275
Proair Hfa 90 Mcg Inhaler,1519,1518,1519,3049,780
Probenecid 500 Mg Tablet,-1678,-1678,-1678,-4042,-3845
Progesterone 100 Mg Capsule,327,91,562,733,1559
Progesterone 200 Mg Capsule,-130,-474,204,-545,-2164
Promethazine 25 Mg Tablet,-1027,-1027,-1027,-2303,-2468
Propranolol 10 Mg Tablet,672,-606,1948,916,-2197
Propranolol 20 Mg Tablet,2156,-1096,5398,1745,-7770
Propranolol 40 Mg Tablet,271,269,273,1088,5349
Propranolol Er 160 Mg Capsule,14389,14309,14480,19300,-52852
Propranolol Er 60 Mg Capsule,1330,1330,1330,1707,9248
Proventil Hfa 90 Mcg Inhaler,566,559,575,2698,6823
Qbrexza 2.4% Cloth,1211,-694,3112,5599,8266
Quasense 0.15-0.03 Mg Tablet,531,528,534,-14728,-92570
Quetiapine Fumarate 100 Mg Tab,-1520,-1578,-1470,-4539,4759
Quetiapine Fumarate 25 Mg Tab,135,46,228,672,7247
Quetiapine Fumarate 50 Mg Tab,6046,5968,6123,24177,112368
Quinapril 40 Mg Tablet,-83,-83,-82,-152,-89
Qvar 80 Mcg Oral Inhaler,-2,-18,16,-479,-3128
Qvar Redihaler 80 Mcg,-269,-269,-269,-800,556
Ramipril 10 Mg Capsule,22,22,22,131,351
Ranitidine 150 Mg Tablet,844,841,848,869,-1722
Reclipsen 28 Day Tablet,-10,-187,166,-12,-95
Retin-A 0.05% Cream,-47257,-47389,-47116,-119664,-288062
Retin-A Micro Pump 0.06% Gel,1345,-1466,4161,2837,6230
Retin-A Micro Pump 0.08% Gel,1310,-2850,5392,2445,2970
Rhofade 1% Cream,655,-1337,2649,1412,3463
Rhopressa 0.02% Ophth Solution,-2971,-2975,-2965,-11664,-27417
Riax 5.5% Foam,633,-1885,2880,2279,24854
Riax 9.5% Foam,-107567,-110826,-102612,-215169,-564163
Rizatriptan 10 Mg Odt,-3462,-3477,-3445,-8372,-9973
Rizatriptan 10 Mg Tablet,-855,-855,-855,-2867,-8354
Ropinirole Hcl 1 Mg Tablet,-1277,-1277,-1277,464,12839
Ropinirole Hcl 2 Mg Tablet,-1718,-1718,-1718,-3509,-602
Rosuvastatin Calcium 10 Mg Tab,-726,-1093,-350,-3126,-10318
Rosuvastatin Calcium 20 Mg Tab,277,-585,1130,528,261
Rosuvastatin Calcium 40 Mg Tab,2141,2022,2250,4741,11539
Rosuvastatin Calcium 5 Mg Tab,1745,1741,1751,5380,21662
Safyral Tablet,1951,1948,1955,6218,5038
Seasonique 0.15-0.03-0.01 Tab,-80045,-90116,-71019,-143756,-47722
Selenium Sulfide 2.25% Shampoo,1227,1227,1227,5679,18235
Selenium Sulfide 2.5% Lotion,-21,-21,-21,-108,-199
Selrx 2.3% Shampoo,-1430,-7162,4133,-3435,-7786
Sernivo 0.05% Spray,-2060,-3838,-316,-3701,-5770
Sertraline Hcl 100 Mg Tablet,329,71,585,700,1665
Sertraline Hcl 25 Mg Tablet,-97,-302,107,-318,-844
Sertraline Hcl 50 MG TAB,16422,12786,20028,71160,479924
Sertraline Hcl 50 Mg Tablet,-442,-531,-377,-2427,-11620
Setlakin 0.15 Mg-0.03 Mg Tab,-20445,-20449,-20432,-68585,-168373
Seysara 100 Mg Tablet,3728,1494,5936,23405,144273
Seysara 150 Mg Tablet,-38511,-38673,-38319,-157654,-524933
Seysara 60 Mg Tablet,7362,6786,7970,79204,310219
Sharobel 0.35 Mg Tablet,53556,53259,53924,237753,755006
Sildenafil 100 Mg Tablet,805,-1226,2846,2681,16087
Sildenafil 20 Mg Tablet,38256,22327,54940,83383,214759
Sildenafil 25 Mg Tablet,-126,-139,-119,-969,-458
Sildenafil 50 Mg Tablet,-728,-1051,-407,-4151,-46025
Sildenafil Tab 100mg Torr 30@,-854,-1389,-307,-4429,-2186
Silver Sulfadiazine 1% Cream,416,416,416,1173,5341
Simvastatin 10 Mg Tablet,46,43,49,-598,-1781
Simvastatin 20 Mg Tablet,81,27,135,150,411
Simvastatin 40 Mg Tablet,770,753,787,2811,12251
Simvastatin 80 Mg Tablet,-17,-18,-17,-880,-4503
Sod Sulface-Sulf 9.8-4.8% Clsr,91003,90930,91021,221418,537880
Sod Sulface-Sulfur 9-4.5% Wash,-30477,-30477,-30477,-71898,-82674
Sod Sulfacet-Sulfur 10-2% Clsr,-18402,-18417,-18381,-61361,-181178
Sod Sulfacet-Sulfur 10-5% Clsr,-189836,-191625,-188042,-361228,-913490
Sod Sulfacetam 10% Clnsng Gel,-61100,-61246,-60896,-177094,-269989
Sod Sulfacetamide-Sulfur Susp,397,397,397,795,1703
Sodium Sulfacetamide 10% Wash,-19115,-19160,-19052,-39753,-93889
Sodium Sulfacetamide-Sulfur 10-2% Cream,32902,32901,32909,84118,252872
Solodyn Er 105 Mg Tablet,10864,7324,14463,52611,262722
Solodyn Er 55 Mg Tablet,36043,35455,36500,69664,82735
Solodyn Er 65 Mg Tablet,-145753,-145814,-145662,-624241,-1239133
Solodyn Er 80 Mg Tablet,-363,-7018,6533,-2323,-10465
Soolantra 1% Cream,-136,-3326,3164,414,3867
Sorilux 0.005% Foam,2069,-12259,16769,11086,39881
Spironolactone 100 Mg Tablet,-6,-311,295,11,141
Spironolactone 25 Mg Tablet,84,-39,209,215,475
Spironolactone 50 Mg Tablet,35,-342,416,66,67
Sprintec 28 Day Tablet,43403,-2957,90088,85631,136736
Sronyx 0.10-0.02 Mg Tablet,140,-124,403,304,615
Ssd 1% Cream,-112,-112,-111,-780,-184
Stendra 100 Mg Tablet,2109,1552,2646,12710,79644
Suboxone 8 Mg-2 Mg Sl Film,-3005,-3042,-2975,-4955,3573
Sucralfate 1 Gm Tablet,132,132,132,330,862
Sulfacetamide Sod 10% Top Susp,-15005,-15073,-14986,-15713,-9376
Sulfacetamide-Sulfur 10-5% Crm,14796,14742,14844,49199,306860
Sulfacetamide-Sulfur 8-4% Susp,-29,-1052,987,88,-66
Sulfacleanse 8-4 Suspension,2971,2970,2971,11084,25414
Sulfamethoxazole-Tmp Ds Tablet,-65,-152,23,-116,-131
Sulfamethoxazole-Tmp Ss Tablet,94,94,95,30,-3100
Sumadan 9%-4.5% Wash,162796,162632,163190,205940,-1413423
Sumatriptan Succ 100 Mg Tablet,765,699,833,-2005,-662
Sumatriptan Succ 50 Mg Tablet,3232,3232,3233,8219,29300
Sumaxin Cleansing Pads,-253,-253,-253,-4099,-430
Suprax 400 Mg Capsule,-2692,-2748,-2626,-5716,-2353
Symbicort 160-4.5 Mcg Inhaler,-1256,-1258,-1252,-1641,-131
Synthroid 100 Mcg Tablet,14,13,14,-138,-729
Synthroid 112 Mcg Tablet,270,269,270,69,-1092
Synthroid 150 Mcg Tablet,65,65,66,141,253
Synthroid 25 Mcg Tablet,2260,2260,2260,4825,6517
Synthroid 50 Mcg Tablet,5419,4914,5825,29355,183277
Synthroid 88 Mcg Tablet,-142,-142,-142,-123,1013
Taclonex 0.005%-0.064% Suspension,2584,-3954,9065,12162,40889
Tacrolimus 0.03% Ointment,3372,3372,3372,613,-119714
Tacrolimus 0.1% Ointment,7731,5952,9497,31271,46723
Tacrolimus 1 Mg Capsule,-19150,-19150,-19150,-28179,9097
Tadalafil 10 Mg Tablet,-476,-3232,2231,-8037,-121688
Tadalafil 2.5 Mg Tablet,-1412,-1427,-1393,-838,4747
Tadalafil 20 Mg Tablet,-2431,-3341,-1581,-14660,-110569
Tadalafil 5 Mg Tablet,-25458,-34793,-15433,-159140,-936784
Tadalafil 5mg,1009,-1553,3608,6677,170031
Tadalafil Tab 5mg,-19405,-22506,-16122,-33966,348387
Tamsulosin Hcl 0.4 Mg Capsule,-42,-237,157,-38,275
Targadox 50 Mg Tablet,225699,224154,227070,703783,1011544
Taytulla 1 Mg-20 Mcg Capsule,-85,-607,429,-200,212
Tazarotene 0.1% Cream,1807,-292,3768,2951,-7465
Tazorac 0.05% Cream,-583,-876,-283,-1893,-417
Tazorac 0.05% Gel,231,231,231,1869,5016
Tazorac 0.1% Cream,-380508,-384749,-376158,-912923,2237620
Tazorac 0.1% Gel,-8973,-8984,-8969,-22802,-43301
Terbinafine Hcl 250 Mg Tablet,160,135,179,-7689,-26484
Testosterone Cyp 200 Mg/ml,6813,6813,6813,18080,47077
Tilia Fe 28 Tablet,463,-401,1303,374,-190
Timolol Maleate 0.5% Eye Drops,319,319,321,-3477,-9046
Tivicay 50 Mg Tablet,646,641,649,1758,22151
Tizanidine Hcl 4 Mg Tablet,-162,-162,-162,-6278,-56849
Tolak 4% Cream,496,434,540,-1056,-10630
Tolsura 65 Mg Capsule,-332,-1962,1237,-8881,-179512
Topicort 0.25% Spray,11763,11471,12036,16964,3223
Topiramate 100 Mg Tablet,158,145,182,202,4527
Topiramate 25 Mg Tablet,26,26,27,290,-242
Topiramate 50 Mg Tablet,-2501,-2513,-2490,-6669,-5904
Toujeo Max Solostar 300 Unit/ml,-32,-32,-32,-457,576
Tranexamic Acid 650 Mg Tablet,-7096,-7098,-7096,-11486,13717
Transderm-Scop 1.5 Mg (1 Mg/3d),-1283,-1293,-1278,-3917,-2733
Trazodone 100 Mg Tablet,-356,-453,-260,-2339,-19798
Trazodone 150 Mg Tablet,1570,1567,1573,4743,9847
